,date,Température maximale,Température minimale,Vitesse du vent,Température du vent,Humidité,Visibilité,Couverture nuageuse,Indice de chaleur,Point de rosée,Pression,Heure du lever du soleil,Heure du coucher du soleil,Heure du coucher du soleil,Durée du jour
78,21/03/2009,12°,11°,37km/h,7°,1mm,55%,10km,38%,12,6°C,1019hPa,06:21:00,18:32:00,12:11:0
79,22/03/2009,12°,11°,33km/h,8°,1mm,53%,10km,31%,12,4°C,1023hPa,06:20:00,18:33:00,12:13:0
80,23/03/2009,14°,13°,24km/h,10°,0mm,63%,10km,6%,15,8°C,1023hPa,06:18:00,18:34:00,12:16:0
81,24/03/2009,18°,14°,21km/h,13°,59%,10km,8%,18,7°C,1019hPa,06:17:00,18:34:00,12:17:0,
82,25/03/2009,15°,13°,39km/h,11°,62%,10km,8%,15,7°C,1016hPa,06:15:00,18:35:00,12:20:0,
83,26/03/2009,17°,14°,27km/h,13°,62%,10km,3%,17,8°C,1018hPa,06:14:00,18:36:00,12:22:0,
84,27/03/2009,21°,16°,15km/h,16°,59%,10km,4%,25,13°C,1018hPa,06:12:00,18:37:00,12:25:0,
85,28/03/2009,24°,20°,21km/h,20°,63%,10km,20%,25,13°C,1011hPa,06:11:00,18:38:00,12:27:0,
86,29/03/2009,25°,21°,25km/h,21°,0mm,63%,9.875km,32%,26,14°C,1010hPa,06:09:00,18:39:00,12:30:0
87,30/03/2009,20°,18°,21km/h,19°,1mm,68%,10km,11%,20,15°C,1010hPa,06:08:00,18:40:00,12:32:0
88,31/03/2009,17°,14°,14km/h,12°,3mm,86%,7.75km,54%,17,12°C,1012hPa,06:07:00,18:41:00,12:34:0
89,1/04/2009,16°,15°,14km/h,15°,1mm,69%,9.875km,33%,16,10°C,1014hPa,06:05:00,18:41:00,12:36:0
90,2/04/2009,18°,16°,16km/h,16°,1mm,69%,10km,31%,18,10°C,1017hPa,06:04:00,18:42:00,12:38:0
91,3/04/2009,16°,14°,12km/h,15°,4mm,79%,9km,56%,17,12°C,1019hPa,06:02:00,18:43:00,12:41:0
92,4/04/2009,15°,14°,17km/h,14°,0mm,81%,9.75km,58%,15,11°C,1021hPa,06:01:00,18:44:00,12:43:0
93,5/04/2009,16°,14°,23km/h,13°,2mm,81%,9.875km,36%,16,11°C,1022hPa,05:59:00,18:45:00,12:46:0
94,6/04/2009,19°,16°,12km/h,16°,0mm,69%,10km,12%,19,11°C,1021hPa,05:58:00,18:46:00,12:48:0
95,7/04/2009,21°,18°,18km/h,18°,1mm,66%,9.875km,13%,24,13°C,1017hPa,05:57:00,18:47:00,12:50:0
96,8/04/2009,18°,14°,18km/h,14°,3mm,90%,9.5km,45%,18,13°C,1016hPa,05:55:00,18:48:00,12:53:0
97,9/04/2009,14°,13°,11km/h,12°,12mm,91%,9.125km,84%,14,12°C,1015hPa,05:54:00,18:48:00,12:54:0
98,10/04/2009,17°,14°,23km/h,14°,4mm,89%,8.875km,57%,17,13°C,1010hPa,05:52:00,18:49:00,12:57:0
99,11/04/2009,19°,14°,27km/h,14°,2mm,88%,8.75km,45%,19,14°C,1009hPa,05:51:00,18:50:00,12:59:0
100,12/04/2009,13°,10°,61km/h,5°,15mm,93%,5.875km,90%,13,12°C,1005hPa,05:50:00,18:51:00,13:1:0
101,13/04/2009,16°,13°,27km/h,11°,5mm,89%,8.625km,75%,16,13°C,1009hPa,05:48:00,18:52:00,13:4:0
102,14/04/2009,18°,15°,28km/h,16°,0mm,78%,10km,25%,18,12°C,1013hPa,05:47:00,18:53:00,13:6:0
103,15/04/2009,21°,18°,14km/h,19°,73%,10km,5%,21,14°C,1015hPa,05:46:00,18:54:00,13:8:0,
104,16/04/2009,20°,18°,12km/h,19°,71%,10km,2%,25,17°C,1017hPa,05:44:00,18:55:00,13:11:0,
105,17/04/2009,19°,17°,14km/h,18°,0mm,74%,10km,5%,19,15°C,1017hPa,05:43:00,18:56:00,13:13:0
106,18/04/2009,16°,15°,19km/h,15°,7mm,82%,9.75km,47%,16,12°C,1016hPa,05:42:00,18:56:00,13:14:0
107,19/04/2009,17°,15°,13km/h,16°,1mm,76%,9.875km,39%,18,11°C,1016hPa,05:40:00,18:57:00,13:17:0
108,20/04/2009,14°,11°,15km/h,9°,7mm,93%,9.5km,78%,14,11°C,1017hPa,05:39:00,18:58:00,13:19:0
109,21/04/2009,16°,14°,37km/h,12°,1mm,80%,10km,65%,16,11°C,1016hPa,05:38:00,18:59:00,13:21:0
110,22/04/2009,15°,13°,24km/h,15°,5mm,85%,10km,80%,15,13°C,1013hPa,05:36:00,19:00:00,13:24:0
111,23/04/2009,18°,16°,23km/h,16°,1mm,85%,9.875km,40%,18,14°C,1017hPa,05:35:00,19:01:00,13:26:0
112,24/04/2009,22°,18°,13km/h,18°,0mm,64%,10km,3%,25,13°C,1018hPa,05:34:00,19:02:00,13:28:0
113,25/04/2009,27°,21°,18km/h,21°,57%,10km,8%,28,16°C,1016hPa,05:33:00,19:03:00,13:30:0,
114,26/04/2009,23°,21°,18km/h,21°,0mm,62%,10km,29%,25,14°C,1012hPa,05:31:00,19:04:00,13:33:0
115,27/04/2009,17°,14°,36km/h,12°,1mm,81%,9.375km,41%,17,13°C,1013hPa,05:30:00,19:04:00,13:34:0
116,28/04/2009,20°,17°,22km/h,17°,0mm,57%,10km,4%,20,10°C,1015hPa,05:29:00,19:05:00,13:36:0
117,29/04/2009,20°,18°,18km/h,18°,67%,10km,7%,20,12°C,1019hPa,05:28:00,19:06:00,13:38:0,
118,30/04/2009,20°,18°,21km/h,18°,65%,10km,6%,20,12°C,1018hPa,05:27:00,19:07:00,13:40:0,
119,1/05/2009,20°,18°,17km/h,18°,64%,10km,21%,20,12°C,1017hPa,05:26:00,19:08:00,13:42:0,
120,2/05/2009,19°,17°,20km/h,17°,0mm,59%,10km,12%,19,11°C,1021hPa,05:24:00,19:09:00,13:45:0
121,3/05/2009,20°,19°,26km/h,19°,1mm,66%,9.75km,21%,20,13°C,1021hPa,05:23:00,19:10:00,13:47:0
122,4/05/2009,21°,19°,23km/h,19°,1mm,70%,10km,18%,21,13°C,1021hPa,05:22:00,19:11:00,13:49:0
123,5/05/2009,19°,16°,25km/h,16°,0mm,80%,10km,31%,19,13°C,1019hPa,05:21:00,19:12:00,13:51:0
124,6/05/2009,20°,18°,19km/h,18°,70%,10km,15%,20,12°C,1022hPa,05:20:00,19:12:00,13:52:0,
125,7/05/2009,21°,19°,13km/h,19°,65%,10km,9%,24,13°C,1023hPa,05:19:00,19:13:00,13:54:0,
126,8/05/2009,23°,21°,17km/h,22°,57%,10km,1%,25,14°C,1022hPa,05:18:00,19:14:00,13:56:0,
127,9/05/2009,24°,21°,25km/h,21°,54%,10km,3%,25,12°C,1021hPa,05:17:00,19:15:00,13:58:0,
128,10/05/2009,24°,22°,22km/h,22°,54%,10km,6%,25,13°C,1019hPa,05:16:00,19:16:00,14:0:0,
129,11/05/2009,24°,22°,19km/h,22°,52%,10km,3%,25,13°C,1019hPa,05:15:00,19:17:00,14:2:0,
130,12/05/2009,24°,22°,22km/h,22°,48%,10km,0%,25,12°C,1019hPa,05:14:00,19:18:00,14:4:0,
131,13/05/2009,24°,22°,27km/h,22°,0mm,50%,10km,18%,25,13°C,1018hPa,05:14:00,19:19:00,14:5:0
132,14/05/2009,23°,21°,24km/h,21°,1mm,63%,9.875km,20%,25,16°C,1013hPa,05:13:00,19:19:00,14:6:0
133,15/05/2009,21°,19°,18km/h,19°,1mm,78%,9km,48%,21,16°C,1007hPa,05:12:00,19:20:00,14:8:0
134,16/05/2009,19°,18°,33km/h,18°,7mm,85%,9.375km,69%,19,16°C,1015hPa,05:11:00,19:21:00,14:10:0
135,17/05/2009,23°,20°,19km/h,20°,0mm,70%,10km,9%,25,17°C,1019hPa,05:10:00,19:22:00,14:12:0
136,18/05/2009,27°,24°,8km/h,24°,54%,10km,27%,31,18°C,1019hPa,05:10:00,19:23:00,14:13:0,
137,19/05/2009,28°,26°,13km/h,26°,50%,10km,6%,31,17°C,1020hPa,05:09:00,19:24:00,14:15:0,
138,20/05/2009,26°,22°,12km/h,23°,55%,10km,11%,27,15°C,1020hPa,05:08:00,19:24:00,14:16:0,
139,21/05/2009,27°,26°,12km/h,27°,46%,10km,2%,30,16°C,1019hPa,05:07:00,19:25:00,14:18:0,
140,22/05/2009,29°,27°,13km/h,29°,37%,10km,1%,29,13°C,1019hPa,05:07:00,19:26:00,14:19:0,
141,23/05/2009,31°,27°,21km/h,27°,38%,10km,2%,30,14°C,1019hPa,05:06:00,19:27:00,14:21:0,
142,24/05/2009,30°,27°,19km/h,27°,33%,10km,33%,29,12°C,1020hPa,05:06:00,19:27:00,14:21:0,
143,25/05/2009,31°,28°,18km/h,29°,32%,10km,5%,29,12°C,1019hPa,05:05:00,19:28:00,14:23:0,
144,26/05/2009,29°,28°,13km/h,28°,0mm,43%,10km,5%,30,16°C,1017hPa,05:04:00,19:29:00,14:25:0
145,27/05/2009,25°,21°,26km/h,21°,1mm,65%,9.875km,30%,26,16°C,1020hPa,05:04:00,19:30:00,14:26:0
146,28/05/2009,25°,22°,24km/h,22°,0mm,52%,10km,6%,25,14°C,1021hPa,05:03:00,19:30:00,14:27:0
147,29/05/2009,26°,24°,16km/h,24°,0mm,55%,10km,4%,26,16°C,1020hPa,05:03:00,19:31:00,14:28:0
148,30/05/2009,28°,25°,13km/h,25°,1mm,50%,9.875km,25%,28,17°C,1017hPa,05:03:00,19:32:00,14:29:0
149,31/05/2009,28°,25°,30km/h,26°,1mm,49%,10km,19%,28,15°C,1017hPa,05:02:00,19:32:00,14:30:0
150,1/06/2009,25°,24°,34km/h,25°,1mm,58%,10km,13%,26,16°C,1015hPa,05:02:00,19:33:00,14:31:0
151,2/06/2009,28°,25°,25km/h,25°,0mm,47%,10km,3%,27,15°C,1015hPa,05:01:00,19:34:00,14:33:0
152,3/06/2009,26°,24°,19km/h,24°,49%,10km,3%,26,15°C,1016hPa,05:01:00,19:34:00,14:33:0,
153,4/06/2009,30°,28°,10km/h,29°,38%,10km,4%,30,15°C,1016hPa,05:01:00,19:35:00,14:34:0,
154,5/06/2009,32°,28°,26km/h,28°,35%,10km,14%,32,13°C,1014hPa,05:01:00,19:36:00,14:35:0,
155,6/06/2009,28°,26°,21km/h,26°,48%,10km,5%,31,16°C,1011hPa,05:00:00,19:36:00,14:36:0,
156,7/06/2009,27°,25°,18km/h,25°,54%,10km,2%,27,17°C,1015hPa,05:00:00,19:37:00,14:37:0,
157,8/06/2009,28°,26°,18km/h,28°,0mm,50%,10km,2%,30,18°C,1014hPa,05:00:00,19:37:00,14:37:0
158,9/06/2009,30°,28°,14km/h,28°,1mm,41%,10km,3%,30,16°C,1018hPa,05:00:00,19:38:00,14:38:0
159,10/06/2009,28°,26°,17km/h,26°,0mm,51%,10km,2%,28,16°C,1021hPa,05:00:00,19:38:00,14:38:0
160,11/06/2009,30°,28°,15km/h,29°,37%,10km,2%,31,15°C,1021hPa,05:00:00,19:39:00,14:39:0,
161,12/06/2009,30°,28°,23km/h,28°,39%,10km,1%,29,14°C,1020hPa,05:00:00,19:39:00,14:39:0,
162,13/06/2009,30°,27°,18km/h,27°,41%,10km,0%,29,16°C,1020hPa,05:00:00,19:40:00,14:40:0,
163,17/06/2009,32°,30°,19km/h,31°,32%,10km,0%,31,18°C,1019hPa,05:00:00,19:41:00,14:41:0,
164,18/06/2009,31°,30°,16km/h,31°,32%,10km,3%,30,15°C,1019hPa,05:00:00,19:41:00,14:41:0,
165,19/06/2009,33°,31°,15km/h,32°,0mm,33%,10km,3%,35,17°C,1018hPa,05:00:00,19:42:00,14:42:0
166,20/06/2009,32°,30°,24km/h,30°,1mm,44%,10km,12%,32,17°C,1016hPa,05:00:00,19:42:00,14:42:0
167,21/06/2009,27°,26°,40km/h,26°,0mm,49%,10km,16%,27,16°C,1015hPa,05:01:00,19:42:00,14:41:0
168,22/06/2009,26°,24°,32km/h,24°,50%,10km,19%,26,14°C,1016hPa,05:01:00,19:42:00,14:41:0,
169,23/06/2009,26°,25°,36km/h,25°,47%,10km,6%,27,13°C,1015hPa,05:01:00,19:42:00,14:41:0,
170,24/06/2009,26°,24°,22km/h,24°,46%,10km,1%,26,14°C,1013hPa,05:01:00,19:42:00,14:41:0,
171,25/06/2009,31°,28°,11km/h,29°,38%,10km,9%,33,18°C,1013hPa,05:02:00,19:43:00,14:41:0,
172,26/06/2009,32°,30°,20km/h,30°,40%,10km,12%,32,17°C,1013hPa,05:02:00,19:43:00,14:41:0,
173,27/06/2009,31°,29°,25km/h,29°,45%,10km,8%,31,17°C,1015hPa,05:02:00,19:43:00,14:41:0,
174,28/06/2009,30°,28°,19km/h,28°,42%,10km,7%,29,17°C,1015hPa,05:03:00,19:43:00,14:40:0,
175,29/06/2009,31°,30°,15km/h,30°,36%,10km,4%,35,17°C,1017hPa,05:03:00,19:43:00,14:40:0,
176,30/06/2009,31°,29°,15km/h,30°,43%,10km,5%,31,17°C,1018hPa,05:03:00,19:43:00,14:40:0,
177,1/07/2009,31°,29°,14km/h,30°,40%,10km,5%,32,21°C,1019hPa,05:04:00,19:43:00,14:39:0,
178,2/07/2009,32°,30°,10km/h,32°,43%,10km,6%,34,20°C,1019hPa,05:04:00,19:42:00,14:38:0,
179,3/07/2009,34°,32°,15km/h,32°,39%,10km,8%,35,18°C,1016hPa,05:05:00,19:42:00,14:37:0,
180,4/07/2009,33°,32°,11km/h,33°,40%,10km,4%,36,21°C,1013hPa,05:05:00,19:42:00,14:37:0,
181,5/07/2009,34°,32°,15km/h,33°,36%,10km,2%,35,21°C,1011hPa,05:06:00,19:42:00,14:36:0,
182,6/07/2009,33°,32°,12km/h,34°,41%,10km,2%,38,20°C,1012hPa,05:06:00,19:42:00,14:36:0,
183,7/07/2009,34°,33°,16km/h,33°,40%,10km,4%,40,20°C,1013hPa,05:07:00,19:42:00,14:35:0,
184,8/07/2009,31°,30°,13km/h,30°,54%,10km,18%,33,21°C,1015hPa,05:08:00,19:41:00,14:33:0,
185,9/07/2009,32°,28°,20km/h,28°,55%,10km,11%,33,20°C,1016hPa,05:08:00,19:41:00,14:33:0,
186,10/07/2009,29°,27°,27km/h,27°,52%,10km,8%,30,17°C,1017hPa,05:09:00,19:41:00,14:32:0,
187,11/07/2009,30°,27°,23km/h,27°,52%,10km,2%,30,18°C,1018hPa,05:09:00,19:40:00,14:31:0,
188,12/07/2009,31°,29°,17km/h,30°,46%,10km,2%,35,19°C,1017hPa,05:10:00,19:40:00,14:30:0,
189,13/07/2009,32°,29°,22km/h,29°,49%,10km,1%,34,20°C,1017hPa,05:11:00,19:39:00,14:28:0,
190,14/07/2009,35°,31°,23km/h,32°,46%,10km,4%,38,19°C,1016hPa,05:11:00,19:39:00,14:28:0,
191,15/07/2009,36°,32°,14km/h,32°,43%,10km,5%,39,19°C,1018hPa,05:12:00,19:39:00,14:27:0,
192,16/07/2009,36°,34°,14km/h,35°,36%,10km,2%,40,18°C,1019hPa,05:13:00,19:38:00,14:25:0,
193,17/07/2009,35°,33°,15km/h,34°,43%,10km,2%,40,21°C,1016hPa,05:14:00,19:37:00,14:23:0,
194,18/07/2009,28°,27°,33km/h,27°,55%,10km,11%,29,20°C,1020hPa,05:14:00,19:37:00,14:23:0,
195,19/07/2009,28°,26°,26km/h,26°,48%,10km,0%,28,15°C,1021hPa,05:15:00,19:36:00,14:21:0,
196,20/07/2009,31°,29°,15km/h,30°,41%,10km,1%,34,18°C,1022hPa,05:16:00,19:36:00,14:20:0,
197,21/07/2009,31°,29°,15km/h,29°,45%,10km,11%,31,18°C,1020hPa,05:16:00,19:35:00,14:19:0,
198,22/07/2009,32°,30°,16km/h,32°,38%,10km,0%,33,19°C,1019hPa,05:17:00,19:34:00,14:17:0,
199,23/07/2009,37°,34°,18km/h,35°,29%,10km,0%,37,16°C,1017hPa,05:18:00,19:34:00,14:16:0,
200,24/07/2009,41°,37°,11km/h,39°,23%,10km,2%,47,17°C,1018hPa,05:19:00,19:33:00,14:14:0,
201,25/07/2009,36°,34°,22km/h,35°,39%,10km,0%,38,20°C,1019hPa,05:20:00,19:32:00,14:12:0,
202,26/07/2009,31°,30°,21km/h,30°,37%,10km,0%,31,16°C,1019hPa,05:20:00,19:31:00,14:11:0,
203,27/07/2009,32°,30°,17km/h,32°,40%,10km,1%,33,18°C,1019hPa,05:21:00,19:31:00,14:10:0,
204,28/07/2009,35°,32°,15km/h,32°,38%,10km,4%,36,18°C,1017hPa,05:22:00,19:30:00,14:8:0,
205,29/07/2009,34°,32°,17km/h,33°,44%,10km,0%,39,22°C,1018hPa,05:23:00,19:29:00,14:6:0,
206,30/07/2009,33°,32°,21km/h,32°,39%,10km,1%,36,20°C,1018hPa,05:23:00,19:28:00,14:5:0,
207,31/07/2009,33°,30°,16km/h,31°,45%,10km,0%,35,21°C,1018hPa,05:24:00,19:27:00,14:3:0,
208,1/08/2009,35°,33°,17km/h,34°,40%,10km,0%,42,22°C,1017hPa,05:25:00,19:26:00,14:1:0,
209,2/08/2009,38°,32°,13km/h,32°,36%,10km,3%,42,20°C,1015hPa,05:26:00,19:25:00,13:59:0,
210,3/08/2009,34°,32°,18km/h,33°,43%,10km,5%,39,22°C,1015hPa,05:27:00,19:24:00,13:57:0,
